Category,Hierarchy,Mapped
 -- -->  Kiwi Kitchens,Dog Food - Air-Dried - Kiwi Kitchens,TRUE
 -- -->  Wisdom,Dog Food - Air-Dried - Wisdom,TRUE
 -- -->  Ziwi Peak,Dog Food - Air-Dried - Ziwi Peak,TRUE
 -->  Canned,Dog Food - Canned,TRUE
 -- -->  First Mate,Dog Food - Canned - First Mate,TRUE
 -- -->  Fromm,Dog Food - Canned - Fromm,TRUE
 -- -->  Inception,Dog Food - Canned - Inception,TRUE
 -- -->  Koha,Dog Food - Canned - Koha,TRUE
 -- -->  Nature's Logic,Dog Food - Canned - Nature's Logic,TRUE
 -- -->  Nulo,Dog Food - Canned - Nulo,TRUE
 -- -->  Rawz,Dog Food - Canned - Rawz,
 -- -->  Taste of the Wild,Dog Food - Canned - Taste of the Wild,TRUE
 -- -->  Weruva,Dog Food - Canned - Weruva,TRUE
 -- -->  Zignature,Dog Food - Canned - Zignature,TRUE
 -->  Dog Food Toppers,Dog Food - Dog Food Toppers,TRUE
 -- -->  NWN,Dog Food - Dog Food Toppers - NWN,TRUE
 -- -->  Nulo,Dog Food - Dog Food Toppers - Nulo,TRUE
 -- -->  OC RAW,Dog Food - Dog Food Toppers - OC RAW,
 -- -->  Other,Dog Food - Dog Food Toppers - Other,TRUE
 -- -->  Primal,Dog Food - Dog Food Toppers - Primal,TRUE
 -- -->  Stella & Chewy's,Dog Food - Dog Food Toppers - Stella & Chewy's,TRUE
 -- -->  The Honest Kitchen,Dog Food - Dog Food Toppers - The Honest Kitchen,TRUE
 -- -->  Tucker's,Dog Food - Dog Food Toppers - Tucker's,TRUE
 -- -->  Yummers,Dog Food - Dog Food Toppers - Yummers,TRUE
 -->  Dry Kibble,Dog Food - Dry Kibble,TRUE
 -- -->  Acana,Dog Food - Dry Kibble - Acana,TRUE
 -- -->  Earthborn,Dog Food - Dry Kibble - Earthborn,TRUE
 -- -->  Farmina,Dog Food - Dry Kibble - Farmina,TRUE
 -- -->  First Mate,Dog Food - Dry Kibble - First Mate,TRUE
 -- -->  Fromm,Dog Food - Dry Kibble - Fromm,TRUE
 -- -->  Honest Kitchen,Dog Food - Dry Kibble - Honest Kitchen,TRUE
 -- -->  Inception,Dog Food - Dry Kibble - Inception,TRUE
 -- -->  Nulo,Dog Food - Dry Kibble - Nulo,TRUE
 -- -->  Open Farm,Dog Food - Dry Kibble - Open Farm,TRUE
 -- -->  Orijen,Dog Food - Dry Kibble - Orijen,TRUE
 -- -->  Other and Discontinued,Dog Food - Dry Kibble - Other and Discontinued,
 -- -- -->  Essence,Dog Food - Dry Kibble - Other and Discontinued - Essence,
 -- -- -->  Other,Dog Food - Dry Kibble - Other and Discontinued - Other,
 -- -- -->  Pure Vita,Dog Food - Dry Kibble - Other and Discontinued - Pure Vita,
 -- -- -->  Taiga,Dog Food - Dry Kibble - Other and Discontinued - Taiga,
 -- -->  Rawz,Dog Food - Dry Kibble - Rawz,
 -- -->  Squarepet,Dog Food - Dry Kibble - Squarepet,TRUE
 -- -->  Stella & Chewy's,Dog Food - Dry Kibble - Stella & Chewy's,TRUE
 -- -->  Taste of the Wild,Dog Food - Dry Kibble - Taste of the Wild,TRUE
 -- -->  Wholesomes,Dog Food - Dry Kibble - Wholesomes,TRUE
 -- -->  Zignature,Dog Food - Dry Kibble - Zignature,TRUE
 -->  Freeze-Dried,Dog Food - Freeze-Dried,TRUE
 -- -->  Dr Marty,Dog Food - Freeze-Dried - Dr Marty,TRUE
 -- -->  Kiwi Kitchens,Dog Food - Freeze-Dried - Kiwi Kitchens,TRUE
 -- -->  Northwest Naturals,Dog Food - Freeze-Dried - Northwest Naturals,TRUE
 -- -->  Nulo,Dog Food - Freeze-Dried - Nulo,TRUE
 -- -->  OC RAW,Dog Food - Freeze-Dried - OC RAW,
 -- -->  Primal,Dog Food - Freeze-Dried - Primal,TRUE
 -- -->  Stella & Chewy's,Dog Food - Freeze-Dried - Stella & Chewy's,TRUE
 -- -->  Yummers,Dog Food - Freeze-Dried - Yummers,TRUE
 -->  Frozen,Dog Food - Frozen,TRUE
 -- -->  A Pup Above,Dog Food - Frozen - A Pup Above,TRUE
 -- -->  Discontinued,Dog Food - Frozen - Discontinued,
 -- -- -->  NWN,Dog Food - Frozen - Discontinued - NWN,
 -- -- -->  Vital Essentials,Dog Food - Frozen - Discontinued - Vital Essentials,
 -- -->  My Perfect Pet,Dog Food - Frozen - My Perfect Pet,TRUE
 -- -->  OC RAW,Dog Food - Frozen - OC RAW,
 -- -->  Open Farm,Dog Food - Frozen - Open Farm,
 -- -->  Primal,Dog Food - Frozen - Primal,TRUE
 -- -->  Smallbatch,Dog Food - Frozen - Smallbatch,
 -- -->  Stella & Chewy's,Dog Food - Frozen - Stella & Chewy's,TRUE
 -- -->  Tuckers,Dog Food - Frozen - Tuckers,TRUE
Dog Toys,Dog Toys,TRUE
 -->  Chuck It!,Dog Toys - Chuck It!,TRUE
 -->  Duraforce,Dog Toys - Duraforce,
 -->  Fab Dog,Dog Toys - Fab Dog,TRUE
 -->  Fluff n' Tuff,Dog Toys - Fluff n' Tuff,TRUE
 -->  Fringe/Toybox,Dog Toys - Fringe/Toybox,TRUE
 -->  Giftable World,Dog Toys - Giftable World,TRUE
 -->  Kong,Dog Toys - Kong,TRUE
 -->  Mammoth,Dog Toys - Mammoth,TRUE
 -->  Mighty,Dog Toys - Mighty,TRUE
 -->  Multipet,Dog Toys - Multipet,TRUE
 -->  Nandog,Dog Toys - Nandog,TRUE
 -->  Other,Dog Toys - Other,TRUE
 -->  Planet Dog,Dog Toys - Planet Dog,TRUE
 -->  Silly Squeakers,Dog Toys - Silly Squeakers,
 -->  Steel Dog,Dog Toys - Steel Dog,TRUE
 -->  Tall Tails,Dog Toys - Tall Tails,TRUE
 -->  Tuffy,Dog Toys - Tuffy,
 -->  Wagsdale,Dog Toys - Wagsdale,TRUE
 -->  West Paw,Dog Toys - West Paw,TRUE
 -->  Zeedog,Dog Toys - Zeedog,TRUE
Dog Treats,Dog Treats,TRUE
 -->  Acana,Dog Treats - Acana,TRUE
 -->  Arya Sit,Dog Treats - Arya Sit,TRUE
 -->  Barking Buddha/Natural Cravings,Dog Treats - Barking Buddha/Natural Cravings,TRUE
